airport1,airport2
CYLW,CYQQ
CYLW,CYYZ
CYLW,CYCD
CYLW,CYYC
CYLW,CYVR
CYLW,CYXS
CYLW,CYYJ
CYLW,CYEG
CYLW,CZVL
CYVR,CYBD
CYVR,CYYJ
CYVR,CYYC
CYVR,CYLW
CYVR,CYAZ
CYVR,CYZP
CYVR,CYYZ
CYVR,CYHZ
CYVR,CYEG
CYVR,CYYD
CYVR,CYWG
CYVR,CYQZ
CYVR,CYQR
CYVR,CYHC
CYVR,CYCG
CYVR,CZMT
CYVR,CAB4
CYVR,CYXC
CYVR,CYXT
CYVR,CYWH
CYVR,CYPR
CYVR,CYXJ
CYVR,CYUL
CYVR,CAD4
CYVR,CYKA
CYVR,CYCD
CYVR,CYZT
CYVR,CYOW
CYVR,CYXE
CYVR,CYHM
CYVR,CBBC
CYVR,CYXS
CYVR,CYYF
CYVR,CYZF
CYVR,CAC8
CYVR,CYWL
CYVR,CYXY
CYVR,CYBL
CYVR,CYQQ
CYVR,CYPW
CYYZ,CYWG
CYYZ,CYYJ
CYYZ,CYXU
CYYZ,CYOW
CYYZ,CYQM
CYYZ,CYYT
CYYZ,CYFC
CYYZ,CYDF
CYYZ,CYZF
CYYZ,CYYG
CYYZ,CYAM
CYYZ,CYVR
CYYZ,CYQX
CYYZ,CYLW
CYYZ,CYXX
CYYZ,CYQG
CYYZ,CYQT
CYYZ,CYSB
CYYZ,CYSJ
CYYZ,CYYB
CYYZ,CCR3
CYYZ,CYTS
CYYZ,CYQB
CYYZ,CYQR
CYYZ,CYXE
CYYZ,CYEG
CYYZ,CYQY
CYYZ,CYHZ
CYYZ,CYUL
CYYZ,CYYC
CYUL,CYTZ
CYUL,CYUY
CYUL,CYMT
CYUL,CYQB
CYUL,CYYJ
CYUL,CYGL
CYUL,CYBG
CYUL,CYQY
CYUL,CZBF
CYUL,CYHZ
CYUL,CYZV
CYUL,CYYT
CYUL,CYYC
CYUL,CYQR
CYUL,CYOW
CYUL,CYGK
CYUL,CYYZ
CYUL,CYVR
CYUL,CYWG
CYUL,CYQM
CYUL,CYFC
CYUL,CYWK
CYUL,CYSJ
CYUL,CYGW
CYUL,CYEG
CYUL,CYDF
CYUL,CYVO
CYUL,CYYG
CYUL,CYVP
CYYC,CYXE
CYYC,CYXX
CYYC,CYXJ
CYYC,CYBR
CYYC,CYYZ
CYYC,CYVR
CYYC,CYMM
CYYC,CYHM
CYYC,CYKF
CYYC,CYXT
CYYC,CYXH
CYYC,CYWG
CYYC,CYQL
CYYC,CYYJ
CYYC,CYLW
CYYC,CYYG
CYYC,CYQT
CYYC,CYXU
CYYC,CYBF
CYYC,CYHZ
CYYC,CYXC
CYYC,CYQQ
CYYC,CYKA
CYYC,CYQM
CYYC,CYQU
CYYC,CYOW
CYYC,CYZF
CYYC,CYQF
CYYC,CYXS
CYYC,CYYF
CYYC,CYUL
CYYC,CYEG
CYYC,CYQR
CYYC,CYCD
CYYC,CYYT
CYEG,CYHM
CYEG,CYZF
CYEG,CYLW
CYEG,CYZH
CYEG,CYXY
CYEG,CYMM
CYEG,CYYZ
CYEG,CYZT
CYEG,CYHZ
CYEG,CYVR
CYEG,CYUL
CYEG,CYQR
CYEG,CYXE
CYEG,CYQQ
CYEG,CYYJ
CYEG,CYQU
CYEG,CYXS
CYEG,CYYC
CYEG,CYWG
CYEG,CYOW
CYEG,CYXX
CYOW,CYYZ
CYOW,CYSB
CYOW,CYQM
CYOW,CYQT
CYOW,CYYJ
CYOW,CYUL
CYOW,CYGK
CYOW,CYEG
CYOW,CYYG
CYOW,CYYC
CYOW,CYWG
CYOW,CYFC
CYOW,CYTZ
CYOW,CYHZ
CYOW,CYQB
CYOW,CYYT
CYOW,CYFB
CYOW,CYVR
CYFB,CYXP
CYQT,CYXL
CYYT,CYUL
CYYT,CYHZ
CYHZ,CYWG
CYZF,CYYZ
CYQB,CYOW
CYWG,CYQT
CYYJ,CYYZ
CYXE,CYEG
CYHZ,CYDF
CYKA,CYVR
CYWG,CYYC
CYHZ,CYQX
CYQR,CYYZ
CYQT,CYYZ
CYZF,CEM3
CYFB,CYYR
CYHZ,CYHM
CYKA,CYYJ
CYWG,CYFB
CYYG,CYYZ
CYQU,CYYC
CYHZ,CYYT
CYMM,CYEG
CYHZ,CYQY
CYFC,CYYZ
CYHZ,CYUL
CYZF,CYWE
CYDF,CYUL
CYXE,CYWG
CYYT,CYYZ
CYVM,CYXP
CYXY,CYOC
CYFB,CYLC
CYFB,CYRT
CYWG,CYOW
CYYT,CYQX
CYWG,CYEG
CYYG,CYUL
CYWG,CYSK
CYZF,CYRA
CYYJ,CYKA
CYYJ,CYYC
CYQT,CYTZ
CYXE,CZFD
CYQM,CYYY
CYQB,CYUL
CYWG,CYYQ
CYQT,CYYC
CYXE,CYUL
CYQM,CYYC
CYHZ,CYYZ
CYXU,CYYZ
CYDF,CYYZ
CYFC,CYTZ
CYQB,CYBC
CYQB,CYTZ
CYHZ,CYKF
CYZF,CYVQ
CYQR,CYXE
CYWG,CYHU
CYDF,CYQX
CYZF,CYHY
CYFB,CYYC
CYXY,CYDA
CYZF,CYVR
CYHZ,CYSJ
CYQB,CYGR
CYDF,CYYT
CYFB,CYGT
CYQM,CYOW
CYQT,CYWP
CYDF,CYHZ
CYZP,CYVR
CYQB,CYYZ
CYYJ,CYVR
CYZF,CYYH
CYXE,CYYZ
CYQT,CYKP
CYWG,CYUL
CYHZ,CYTZ
CYQR,CYVR
CYZF,CYCB
CYFB,CYOW
CYZF,CYYC
CYFC,CYUL
CYHZ,CYYC
CYXU,CYYC
CYHZ,CYYR
CYQU,CYEG
CYQB,CYZV
CYQR,CYYC
CYXY,CYVR
CYFB,CYVM
CYQB,CYVO
CYYG,CYYC
CYWG,CYYZ
CYWG,CYTH
CYYT,CYQM
CYZF,CYEG
CYYT,CYYC
CYYJ,CYOW
CYXY,CYYC
CYQB,CYYR
CYYJ,CYEG
CYZF,CYWJ
CYQT,CYOW
CYQM,CYUL
CYHZ,CYVR
CYQR,CYEG
CYZF,CYVL
CYZF,CYFS
CYWG,CYHZ
CYFC,CYOW
CYMM,CYYC
CYYJ,CYXS
CYYT,CYOW
CYXE,CYPA
CYDF,CYQM
CYQT,CYFH
CYXY,CYEG
CYDF,CYYR
CYFB,CYIO
CYQT,CYWG
CYXE,CYVR
CYQM,CYYZ
CYQB,CYGP
CYYJ,CYLW
CYWG,CYXE
CYWG,CYFO
CYKA,CYYC
CYHZ,CYOW
CYFB,CYAB
CYYJ,CYUL
CYFB,CYCY
CYHZ,CYEG
CYQB,CYHU
CYXE,CYYC
CYQB,CYUY
CYWG,CYRT
CYYT,CYDF
CYWG,CYQR
CYYG,CYOW
CYZF,CYLK
CYWG,CYVR
